G301_G299_A	 STF
G80_G584_A	 STR
G452	 STF
G172_G173_A	 STF
G505	 STR
G511_G512_B	 STF
G59_G350_A	 STF
G79_G578_A	 STF
G349	 STF
G76_G585_B	 STR
G588	 STR
G80_G561_B	 STR
G239	 STR
G497	 STR
G640	 STR
G558	 STF
G270_G289_A	 STR
G511_G443_B	 STF
G550_G551_A	 STF
G288	 STF
G84_G603_B	 STR
G90_G654_A	 STR
G57_G399_B	 STF
G136_G226_A	 STF
G644	 STF
G638	 STR
G551_G539_A	 STF
G46_G295_A	 STF
G596_G99_B	 STF
G290	 STF
G645_G627_B	 STR
G553_G549_A	 STR
G77_G586_B	 STR
G635	 STF
G77_G99_A	 STR
G342	 STF
G511_G505_B	 STR
G432_G229_A	 STF
G49_G318_A	 STR
G103_G278_A	 STF
G629	 STF
G619	 STF
G74_G529_B	 STR
========================================================================


G270_G289_A	 STR
G396	 STR
G431_G425_A	 STF
G325	 STF
G461	 STF
G449	 STF
G72_G496_A	 STR
G550_G534_A	 STF
G75_G584_B	 STR
G506	 STR
G395_G389_A	 STF
G101_G291_B	 STR
G476_G655_B	 STF
G58_G402_B	 STR
G57_G412_B	 STF
G103_G278_A	 STF
G489	 STR
G648	 STR
G412_G402_A	 STF
G414_G345_A	 STF
G490	 STR
G583	 STF
G335_G413_A	 STF
G136_G226_A	 STF
G46_G295_A	 STF
G72_G487_B	 STF
G432_G229_A	 STR
G494	 STR
G54_G381_B	 STF
G61	 STR
G584	 STR
G171_G172_A	 STF
G524_G593_B	 STR
G82	 STR
G350	 STF
G646	 STR
G105_G285_B	 STR
G285	 STF
G180_G181_B	 STF
G103_G293_B	 STR
G246	 STF
G493	 STR
G645_G621_B	 STR
G49_G300_B	 STR
G488	 STR
G270	 STR
G481	 STF
G76_G538_B	 STR
G507	 STR
G301_G334_A	 STR
G290	 STF
G511_G505_B	 STR
G640	 STF
G261	 STR
G288	 STF
G342	 STF
G229	 STF
G46_G282_B	 STF
G638	 STF
G520	 STR
G74_G583_B	 STR
G495	 STR
G73	 STR
G582	 STF
G101_G275_A	 STF
G105_G295_B	 STR
G629	 STF
G270_G283_A	 STR
G491	 STR
G585	 STR
G529	 STF
G601_G602_B	 STF
G101_G286_B	 STF
G634	 STR
G536	 STR
G63	 STR
G561_G582_A	 STR
G59_G350_A	 STR
G556	 STF
G79_G583_A	 STR
G74_G578_B	 STR
G496	 STR
G79_G561_A	 STF
G45_G284_A	 STR
G102_G287_B	 STR
G335_G412_A	 STF
G346	 STF
G79_G578_A	 STR
G588	 STR
G334	 STR
G229_G344_A	 STF
========================================================================


G358_G432_A	 STF
G412_G402_A	 STF
G81_G585_A	 STR
G635	 STF
G75_G533_B	 STR
G647	 STF
G71_G518_A	 STR
G73_G501_A	 STR
G583	 STF
G332	 STR
G509	 STR
G350	 STR
G524_G593_B	 STR
G58_G413_B	 STF
G346	 STF
G582	 STF
G83_G456_A	 STR
G683	 STR
G180_G181_B	 STR
G49_G300_B	 STR
G596_G97_B	 STF
G76_G585_B	 STF
G431_G425_A	 STF
G268_G279_A	 STR
G610_G567_B	 STR
G489	 STR
G76_G580_B	 STR
G74_G550_B	 STF
G101_G286_B	 STF
G481_G478_A	 STF
G182	 STR
G404	 STF
G265_G261_A	 STR
G488	 STR
G502	 STR
G645_G630_B	 STR
G529	 STF
G632	 STR
G246	 STF
G511_G443_B	 STF
G77_G586_B	 STF
G80_G579_A	 STR
G57_G399_B	 STF
G301_G334_A	 STF
G641	 STF
G556	 STF
G349	 STR
G543	 STF
G510	 STR
G171_G172_A	 STF
G335_G413_A	 STF
G491	 STF
G511_G505_B	 STR
G75_G584_B	 STF
G352	 STF
G536	 STR
G74_G96_A	 STR
G449	 STF
G33	 STR
G596_G100_B	 STF
G456_G646_A	 STF
G54_G381_B	 STF
G22	 STF
G524_G604_B	 STR
G640	 STF
G538	 STF
G170_G171_A	 STF
G44_G288_A	 STR
G63	 STR
G293	 STF
G432_G229_A	 STR
G80_G561_B	 STF
G619	 STR
G551_G539_A	 STF
G614	 STR
G49_G318_A	 STR
G49_G326_A	 STF
G553_G549_A	 STR
G412	 STF
G348_G349_B	 STF
G57_G412_B	 STF
G596_G99_B	 STF
G229	 STF
G617	 STR
G85_G602_A	 STR
G602	 STF
G61_G421_B	 STR
G72_G487_B	 STF
G80_G584_A	 STR
G48_G301_C	 STF
G74_G578_B	 STR
G585	 STR
G171_G162_A	 STF
G102_G287_B	 STR
G76	 STR
G601_G602_B	 STF
========================================================================


G270_G289_A	 STF
G631	 STR
G351	 STR
G269_G289_B	 STF
G84_G603_B	 STR
G551_G552_A	 STF
G104_G284_B	 STF
G301_G334_A	 STF
G610_G567_B	 STR
G637	 STF
G78_G582_B	 STR
G552_G543_A	 STR
G449	 STR
G645_G684_A	 STR
G349	 STR
G335_G413_A	 STF
G332	 STR
G299_G239_A	 STF
G76_G585_B	 STF
G632	 STF
G553_G549_A	 STR
G63	 STR
G73	 STR
G596_G96_B	 STF
G342	 STF
G335_G412_A	 STF
G350	 STR
G497	 STR
G101_G286_B	 STF
G288	 STF
G79_G561_A	 STF
G354	 STR
G57_G399_B	 STF
G481	 STF
G246	 STF
G511_G443_B	 STF
G77_G99_A	 STR
G77_G581_B	 STR
G49_G326_A	 STF
G105_G295_B	 STF
G171_G162_A	 STF
G511_G505_B	 STF
G509	 STR
G332BF	 STR
G645_G642_B	 STF
G42_G239_B	 STF
G44_G293_A	 STF
G286	 STR
G500_G496_B	 STR
G239	 STR
G476_G627_A	 STF
G561_G582_A	 STR
G491	 STF
G596_G100_B	 STR
G542	 STR
G647	 STR
G536	 STR
G601_G602_B	 STF
G567	 STR
G77_G586_B	 STF
G619	 STR
G499	 STF
G596_G97_B	 STF
G82_G575_A	 STR
G524_G604_B	 STR
G508	 STF
G72_G519_A	 STR
G80_G584_A	 STR
G76	 STR
G579	 STF
G461	 STF
G538	 STF
G75	 STR
G75_G97_A	 STR
G640	 STF
G293	 STF
G646	 STR
G183_G377_A	 STF
G229	 STR
G524_G593_B	 STR
G74_G529_B	 STF
G511_G508_B	 STR
G101_G291_B	 STF
G101	 STF
G334	 STR
G645_G627_B	 STR
G76_G580_B	 STF
G346	 STR
G434_G461_A	 STR
G493	 STR
G103_G293_B	 STR
G581	 STF
========================================================================


G350	 STF
G74_G578_B	 STR
G78_G582_B	 STR
G511_G508_B	 STR
G77_G586_B	 STR
G498	 STR
G74_G96_A	 STR
G602	 STF
G79_G561_A	 STR
G57_G399_B	 STR
G72_G487_B	 STF
G101	 STF
G69_G520_B	 STR
G80_G584_A	 STR
G347	 STF
G229_G344_A	 STF
G48_G300_C	 STF
G524_G593_B	 STR
G500_G492_B	 STR
G645_G636_B	 STR
G49_G300_B	 STF
G45_G284_A	 STR
G511_G505_B	 STR
G489	 STR
G50_G325_A	 STF
G584	 STR
G537	 STR
G77_G99_A	 STR
G638	 STR
G101_G275_A	 STF
G641	 STF
G72_G519_A	 STR
G102_G292_B	 STF
G556	 STR
G491	 STR
G105_G285_B	 STF
G332BF	 STR
G270_G283_A	 STR
G634	 STR
G578	 STF
G549	 STR
G59_G350_A	 STF
G44_G293_A	 STF
G76_G585_B	 STF
G355_G356_B	 STR
G268_G289_C	 STR
G170_G171_A	 STF
G229	 STF
G62_G349_A	 STR
G511_G512_B	 STF
G80_G579_A	 STF
G508	 STR
G553_G549_A	 STR
G102_G276_A	 STF
G414_G345_A	 STF
G512	 STR
G647	 STF
G63_G439_B	 STR
G71	 STR
G596_G100_B	 STF
G85_G602_A	 STR
G561_G582_A	 STR
G432_G229_A	 STF
G504	 STR
G684	 STR
G550_G551_A	 STF
G645_G621_B	 STR
G299_G239_A	 STF
G645_G646_B	 STR
G614	 STR
G103_G278_A	 STF
G75_G584_B	 STF
G585	 STR
G364	 STF
G73_G520_A	 STR
G456_G646_A	 STF
G334	 STF
G104_G294_B	 STR
G490	 STF
G500_G496_B	 STR
G74_G583_B	 STF
G71_G492_A	 STR
G82	 STR
G284	 STF
G71_G518_A	 STR
G351	 STF
G640	 STR
G75_G533_B	 STR
G42_G239_B	 STF
G49_G301_B	 STF
G48_G301_C	 STF
G79_G578_A	 STR
G83_G456_A	 STR
G596_G97_B	 STF
========================================================================


G644	 STF
G508	 STF
G73_G487_C	 STF
G285	 STF
G45_G284_A	 STR
G351	 STR
G75	 STR
G481	 STF
G524_G456_B	 STF
G596_G100_B	 STF
G601_G602_B	 STF
G74_G96_A	 STR
G183_G377_A	 STF
G105_G295_B	 STR
G645_G630_B	 STR
G77_G586_B	 STR
G82_G575_A	 STR
G102_G292_B	 STF
G270_G283_A	 STR
G364	 STF
G567	 STR
G395_G389_A	 STF
G449	 STR
G75_G584_B	 STR
G64	 STR
G75_G97_A	 STR
G502	 STR
G90_G654_A	 STF
G550_G551_A	 STF
G645_G684_A	 STR
G268	 STR
G456_G646_A	 STF
G511_G508_B	 STR
G59_G350_A	 STR
G541	 STR
G80_G584_A	 STR
G597_G599_B	 STF
G543	 STF
G629	 STR
G22	 STF
G512	 STR
G64_G444_B	 STR
G513	 STR
G481_G474_A	 STF
G645_G624_B	 STR
G520	 STR
G638	 STF
G648	 STF
G48_G301_C	 STF
G637	 STF
G298	 STR
G103_G293_B	 STF
G645_G633_B	 STR
G610_G567_B	 STR
G102_G276_A	 STF
G79_G561_A	 STF
G617	 STF
G79_G578_A	 STR
G46_G285_A	 STR
G583	 STF
G71_G518_A	 STR
G335_G412_A	 STF
G77_G99_A	 STR
G71_G492_A	 STR
G569	 STR
G79_G583_A	 STR
G432_G229_A	 STF
G85_G602_A	 STR
G348_G349_B	 STF
G74_G583_B	 STF
G62_G349_A	 STF
G84_G603_B	 STR
G50_G301_A	 STF
G500_G492_B	 STR
G412_G406_A	 STF
G511_G505_B	 STR
G334	 STR
G136_G226_A	 STF
G649_G235_A	 STF
G683	 STR
G80_G561_B	 STR
G536	 STR
G256	 STF
G524_G593_B	 STR
G510	 STR
G82_G586_A	 STR
G381	 STR
G614	 STR
G632	 STR
G559	 STF
G325	 STR
G104_G284_B	 STF
G505	 STR
========================================================================


G180_G181_B	 STR
G495	 STR
G45_G284_A	 STR
G585	 STR
G261	 STR
G81_G561_C	 STF
G284	 STF
G101_G275_A	 STF
G511_G508_B	 STF
G537	 STR
G74_G578_B	 STR
G645_G624_B	 STR
G583	 STF
G75	 STR
G596_G96_B	 STF
G520	 STR
G101_G286_B	 STF
G511_G512_B	 STR
G553_G549_A	 STR
G617	 STR
G58_G402_B	 STR
G549	 STR
G49_G300_B	 STF
G641	 STF
G293	 STR
G645_G639_B	 STR
G290	 STF
G83_G456_A	 STR
G229	 STR
G62_G349_A	 STF
G412_G406_A	 STF
G481	 STF
G49_G301_B	 STF
G72_G519_A	 STR
G348_G349_B	 STR
G364	 STF
G449	 STF
G71	 STR
G50_G300_A	 STR
G90_G654_A	 STR
G503	 STF
G246	 STF
G105_G285_B	 STR
G82_G575_A	 STR
G508	 STR
G103_G288_B	 STR
G646	 STF
G72	 STR
G481_G478_A	 STF
G73_G501_A	 STR
G64_G444_B	 STR
G72_G487_B	 STF
G76_G98_A	 STR
G349	 STR
G634	 STR
G136_G226_A	 STF
G79_G583_A	 STR
G80_G579_A	 STF
G102_G292_B	 STF
G268_G279_A	 STR
G76_G585_B	 STR
G619	 STR
G59_G350_A	 STR
G74_G583_B	 STF
G49_G326_A	 STF
G335_G400_A	 STF
G104_G294_B	 STF
G73_G487_C	 STF
G541	 STR
G75_G584_B	 STF
G74_G550_B	 STR
G584	 STR
G550_G551_A	 STF
G85_G602_A	 STR
G567	 STR
G645_G352_B	 STF
G229_G344_A	 STR
G559	 STF
G602	 STR
G172_G173_A	 STF
G73_G520_A	 STR
G80_G561_B	 STR
G621	 STR
G285	 STF
G77_G581_B	 STR
G57_G399_B	 STR
G525	 STR
G511_G505_B	 STR
G502	 STR
G649_G235_A	 STF
G551_G538_A	 STR
G351	 STF
G105_G295_B	 STR
G476_G627_A	 STF
G456_G646_A	 STR
G77_G586_B	 STR
========================================================================


G102_G276_A	 STF
G584	 STR
G451	 STF
G395_G389_A	 STF
G80_G579_A	 STR
G432_G229_A	 STF
G64	 STR
G82_G586_A	 STR
G511_G505_B	 STF
G585	 STR
G632	 STF
G505	 STF
G75_G579_B	 STR
G645_G624_B	 STR
G70_G474_B	 STR
G481_G478_A	 STF
G75_G97_A	 STR
G596_G97_B	 STF
G495	 STR
G581	 STF
G381	 STR
G346	 STR
G493	 STR
G47_G300_D	 STF
G549	 STR
G76_G580_B	 STR
G79_G561_A	 STF
G103_G293_B	 STR
G621	 STR
G614	 STF
G64_G444_B	 STR
G42_G239_B	 STF
G476_G655_B	 STF
G582	 STF
G45_G284_A	 STR
G631	 STF
G649_G235_A	 STF
G645_G642_B	 STR
G481	 STF
G77_G99_A	 STR
G508	 STF
G172_G173_A	 STF
G645_G646_B	 STR
G645_G633_B	 STR
G645_G627_B	 STR
G183_G381_A	 STF
G44_G288_A	 STR
G71_G518_A	 STR
G452	 STF
G494	 STR
G84_G603_B	 STR
G75	 STR
G246	 STF
G412_G406_A	 STF
G456_G646_A	 STF
G74_G96_A	 STR
G49_G326_A	 STF
G256	 STF
G229_G344_A	 STF
G73_G501_A	 STR
G596_G100_B	 STF
G524_G604_B	 STF
G72_G496_A	 STR
G54_G381_B	 STF
G85_G602_A	 STR
G325	 STR
G82_G575_A	 STR
G101_G291_B	 STR
G75_G584_B	 STF
G104_G294_B	 STR
G102_G292_B	 STR
G72	 STR
G261	 STR
G349	 STF
G73_G520_A	 STR
G449	 STR
G79_G583_A	 STR
G105_G285_B	 STF
G569	 STR
G50_G300_A	 STR
G602	 STR
G90_G654_A	 STR
G541	 STR
G643	 STF
G44_G293_A	 STF
G75_G533_B	 STR
G583	 STR
G648	 STR
G491	 STR
G503	 STF
G79_G578_A	 STF
G239	 STR
G647	 STR
========================================================================


G299_G239_A	 STF
G101_G291_B	 STF
G71_G518_A	 STR
G524_G456_B	 STF
G511_G508_B	 STF
G493	 STR
G44_G288_A	 STR
G50_G301_A	 STF
G629	 STF
G538	 STF
G101_G286_B	 STF
G451	 STF
G645_G633_B	 STR
G74_G96_A	 STR
G290	 STF
G583	 STF
G239	 STR
G90_G654_A	 STR
G57_G399_B	 STR
G105_G295_B	 STF
G59_G350_A	 STR
G335_G412_A	 STF
G229	 STR
G610_G567_B	 STR
G481_G478_A	 STF
G74_G578_B	 STR
G561_G582_A	 STR
G556	 STR
G75_G584_B	 STF
G643	 STF
G588	 STR
G82_G586_A	 STR
G102_G287_B	 STR
G44_G293_A	 STF
G83_G456_A	 STR
G495	 STR
G76_G98_A	 STR
G76_G580_B	 STR
G520	 STR
G79_G561_A	 STF
G586	 STR
G581	 STF
G79_G583_A	 STF
G602	 STR
G645_G636_B	 STR
G80_G584_A	 STR
G75_G579_B	 STR
G449	 STF
G452	 STF
G73_G487_C	 STF
G492	 STR
G298	 STR
G342	 STF
G348_G349_B	 STR
G81_G561_C	 STF
G77_G581_B	 STF
G543	 STF
G49_G318_A	 STR
G535	 STF
G617	 STF
G355_G356_B	 STR
G72_G496_A	 STR
G293	 STR
G85_G602_A	 STF
G76_G585_B	 STR
G645_G639_B	 STR
G71_G492_A	 STR
G73	 STR
G456_G646_A	 STR
G102_G292_B	 STR
G524_G593_B	 STR
G49_G300_B	 STR
G346	 STR
G502	 STR
G77_G586_B	 STR
G172_G173_A	 STF
G414_G345_A	 STF
G80_G579_A	 STF
G74_G583_B	 STF
G62_G349_A	 STR
G229_G344_A	 STF
G265_G261_A	 STR
G619	 STR
G351	 STR
G596_G96_B	 STF
G578	 STF
G269_G281_A	 STR
G46_G285_A	 STR
========================================================================


G101_G286_B	 STF
G567	 STR
G101_G275_A	 STF
G412_G406_A	 STF
G136_G226_A	 STF
G582	 STF
G293	 STR
G586	 STR
G596_G97_B	 STF
G74_G529_B	 STR
G631	 STF
G541	 STR
G82	 STR
G82_G586_A	 STR
G62_G349_A	 STF
G290	 STF
G569	 STR
G73	 STR
G59_G350_A	 STR
G288	 STF
G579	 STF
G355_G356_B	 STR
G74_G583_B	 STR
G72_G519_A	 STR
G44_G293_A	 STR
G646	 STF
G80_G579_A	 STF
G45_G284_A	 STR
G588	 STR
G524_G604_B	 STF
G585	 STR
G76_G98_A	 STR
G602	 STR
G325	 STR
G104_G284_B	 STR
G72	 STR
G275	 STR
G77_G99_A	 STR
G103_G293_B	 STR
G101_G291_B	 STF
G552_G543_A	 STR
G229_G344_A	 STR
G57_G399_B	 STF
G81_G585_A	 STR
G364	 STF
G524_G456_B	 STF
G105_G295_B	 STF
G80_G561_B	 STR
G645_G639_B	 STR
G74_G96_A	 STR
G76_G580_B	 STF
G50_G325_A	 STF
G335_G413_A	 STF
G432_G229_A	 STR
G508	 STR
G349	 STF
G490	 STR
G395_G389_A	 STF
G634	 STF
G75_G579_B	 STR
G452	 STF
G645_G627_B	 STR
G81_G561_C	 STF
G47_G300_D	 STF
G80_G584_A	 STR
G265_G261_A	 STR
G502	 STR
G649_G235_A	 STF
G101	 STF
G79_G583_A	 STF
G556	 STR
G335_G400_A	 STF
G48_G300_C	 STF
G90_G654_A	 STR
G520	 STR
G71_G518_A	 STR
G269_G281_A	 STR
G79_G561_A	 STR
G58_G402_B	 STR
G589	 STF
G518	 STR
G298	 STR
G179	 STR
G50_G301_A	 STF
G301_G334_A	 STR
G476_G627_A	 STF
G629	 STF
G511_G508_B	 STF
G643	 STF
G73_G520_A	 STR
G46_G285_A	 STR
G596_G100_B	 STR
G619	 STF
G491	 STR
========================================================================


G586	 STR
G334	 STR
G456_G646_A	 STF
G80_G579_A	 STF
G510	 STR
G71	 STR
G583	 STF
G505	 STF
G73_G520_A	 STR
G645_G639_B	 STR
G76_G98_A	 STR
G76_G585_B	 STR
G105_G295_B	 STR
G172_G173_A	 STF
G77_G581_B	 STF
G581	 STF
G645_G624_B	 STR
G551_G538_A	 STR
G346	 STR
G512	 STR
G644	 STR
G610_G567_B	 STR
G629	 STR
G645_G642_B	 STR
G76_G580_B	 STR
G335_G400_A	 STF
G49_G300_B	 STR
G350	 STR
G81_G585_A	 STR
G57_G399_B	 STF
G432_G229_A	 STR
G602	 STR
G284	 STF
G48_G300_C	 STF
G354	 STR
G511_G505_B	 STR
G537	 STR
G645_G627_B	 STR
G491	 STF
G82_G575_A	 STR
G412_G406_A	 STF
G261	 STR
G596_G97_B	 STF
G645_G646_B	 STF
G490	 STR
G62_G349_A	 STF
G351	 STR
G229	 STR
G77_G99_A	 STR
G646	 STF
G614	 STF
G75_G584_B	 STR
G645_G630_B	 STR
G77_G586_B	 STR
G520	 STR
G335_G413_A	 STF
G561_G582_A	 STR
G79_G578_A	 STR
G324_G325_B	 STR
G518	 STR
G508	 STR
G71_G518_A	 STR
G643	 STF
G79_G583_A	 STR
G83_G456_A	 STR
G543	 STF
G103_G293_B	 STR
G72_G496_A	 STR
G601_G602_B	 STR
G80_G584_A	 STR
G183_G377_A	 STF
G511_G512_B	 STR
G101_G291_B	 STF
G85_G602_A	 STF
G229_G344_A	 STR
G559	 STF
G45_G284_A	 STR
G451	 STF
G578	 STF
G495	 STR
G452	 STF
G524_G593_B	 STR
G414_G345_A	 STF
G617	 STF
G524_G604_B	 STR
G73_G487_C	 STF
G355_G356_B	 STR
G511_G508_B	 STF
G69_G520_B	 STR
G632	 STR
G44_G288_A	 STR
========================================================================


G49_G301_B	 STF
G604_G591_B	 STF
G79_G583_A	 STR
G567	 STR
G349	 STR
G70_G474_B	 STR
G610_G567_B	 STR
G520	 STR
G64	 STR
G90_G654_A	 STF
G76_G98_A	 STR
G179	 STR
G350	 STR
G412_G406_A	 STF
G348_G349_B	 STR
G22	 STF
G73_G487_C	 STF
G508	 STR
G629	 STR
G578	 STF
G256	 STF
G69_G520_B	 STR
G495	 STR
G645_G627_B	 STR
G561_G582_A	 STR
G74_G583_B	 STF
G549	 STR
G325	 STR
G298	 STR
G47_G300_D	 STF
G45_G284_A	 STR
G72_G519_A	 STR
G44_G288_A	 STR
G288	 STF
G80_G561_B	 STR
G511_G512_B	 STR
G78_G582_B	 STR
G524_G456_B	 STF
G180_G181_B	 STF
G551_G538_A	 STR
G79_G578_A	 STF
G556	 STR
G510	 STR
G74_G578_B	 STR
G648	 STR
G79_G561_A	 STF
G602	 STR
G301_G334_A	 STR
G85_G602_A	 STR
G80_G584_A	 STR
G511_G505_B	 STF
G502	 STR
G596_G100_B	 STF
G553_G549_A	 STR
G75_G579_B	 STR
G579	 STF
G101_G291_B	 STF
G102_G292_B	 STF
G542	 STR
G617	 STR
G58_G402_B	 STR
G491	 STR
G261	 STR
G481_G478_A	 STF
G646	 STR
G73	 STR
G449	 STF
G62_G349_A	 STR
G77_G581_B	 STR
G74_G550_B	 STR
G632	 STR
G73_G501_A	 STR
G497	 STR
G511_G508_B	 STF
G452	 STF
G585	 STR
G619	 STR
G500_G492_B	 STR
G102_G287_B	 STR
G335_G400_A	 STF
G640	 STR
G334	 STR
G614	 STR
G265_G261_A	 STR
G505	 STF
G76_G585_B	 STR
G105_G295_B	 STR
G346	 STR
G80_G579_A	 STR
G49_G300_B	 STR
========================================================================


G275	 STR
G77_G586_B	 STR
G104_G284_B	 STR
G583	 STF
G72_G519_A	 STR
G80_G584_A	 STR
G203_G225_B	 STF
G601_G602_B	 STR
G47_G300_D	 STF
G85_G602_A	 STR
G645_G642_B	 STR
G77_G581_B	 STR
G589	 STF
G490	 STR
G74_G578_B	 STR
G631	 STF
G335_G412_A	 STF
G81_G561_C	 STF
G347	 STF
G432_G229_A	 STF
G355_G356_B	 STR
G364	 STF
G541	 STR
G301_G334_A	 STR
G105_G295_B	 STR
G82_G581_A	 STF
G645_G630_B	 STR
G495	 STR
G414_G345_A	 STF
G561_G582_A	 STF
G101_G291_B	 STF
G503	 STF
G645_G646_B	 STR
G80_G561_B	 STR
G511_G512_B	 STR
G588	 STR
G614	 STF
G646	 STR
G597_G599_B	 STF
G538	 STF
G645_G621_B	 STR
G62_G349_A	 STF
G449	 STR
G476_G655_B	 STF
G78_G582_B	 STR
G556	 STR
G284	 STF
G104_G294_B	 STR
G634	 STR
G179	 STR
G73_G501_A	 STR
G596_G97_B	 STF
G288	 STF
G511_G505_B	 STF
G582	 STF
G246	 STF
G520	 STR
G349	 STF
G524_G456_B	 STF
G334	 STR
G298	 STR
G567	 STR
G640	 STR
G75_G584_B	 STF
G256	 STF
G83_G456_A	 STR
G619	 STR
G578	 STF
G49_G300_B	 STR
G79_G578_A	 STR
G90_G654_A	 STR
G649_G235_A	 STF
G491	 STR
G510	 STR
G72_G487_B	 STF
G602	 STR
G632	 STR
G64	 STR
G536	 STR
G73_G520_A	 STR
G101_G275_A	 STF
G511_G508_B	 STR
G76_G580_B	 STF
G641	 STF
G351	 STF
G44_G293_A	 STF
G647	 STR
G543	 STF
G22	 STF
G524_G604_B	 STR
G74_G529_B	 STR
G552_G543_A	 STR
========================================================================


G578	 STF
G511_G508_B	 STR
G525	 STR
G641	 STF
G347	 STF
G269_G281_A	 STR
G78_G582_B	 STR
G72_G487_B	 STF
G582	 STF
G229	 STR
G629	 STR
G72_G496_A	 STR
G105_G285_B	 STF
G552_G543_A	 STR
G432_G229_A	 STF
G476_G655_B	 STF
G451	 STF
G596_G100_B	 STF
G75_G579_B	 STR
G597_G599_B	 STF
G535	 STF
G81_G585_A	 STR
G512	 STR
G203_G225_B	 STF
G85_G602_A	 STR
G493	 STR
G90_G654_A	 STF
G549	 STR
G44_G293_A	 STF
G57_G399_B	 STR
G74_G550_B	 STR
G246	 STF
G73_G520_A	 STR
G510	 STR
G288	 STF
G268_G279_A	 STR
G476_G627_A	 STF
G643	 STF
G538	 STF
G101_G291_B	 STF
G64	 STR
G80_G584_A	 STR
G104_G294_B	 STF
G551_G538_A	 STR
G617	 STF
G62_G349_A	 STF
G588	 STR
G76_G580_B	 STF
G349	 STF
G646	 STR
G76_G98_A	 STR
G645_G636_B	 STR
G364	 STF
G81_G561_C	 STF
G301_G334_A	 STR
G449	 STR
G491	 STF
G602	 STR
G73_G487_C	 STF
G59_G350_A	 STR
G73	 STR
G561_G582_A	 STR
G581	 STF
G583	 STR
G513	 STR
G76_G585_B	 STR
G631	 STR
G492	 STR
G632	 STF
G293	 STR
G645_G642_B	 STF
G414_G345_A	 STF
G596_G97_B	 STF
G348_G349_B	 STF
G80_G579_A	 STR
G634	 STR
G543	 STF
G505	 STF
G75_G584_B	 STR
G495	 STR
G645_G624_B	 STR
G638	 STR
G456_G646_A	 STF
G325	 STR
G645_G646_B	 STF
G74_G578_B	 STR
G136_G226_A	 STF
G44_G288_A	 STR
========================================================================


G101_G275_A	 STF
G44_G293_A	 STR
G497	 STR
G456_G646_A	 STR
G585	 STR
G69_G520_B	 STR
G84_G603_B	 STR
G648	 STR
G75_G579_B	 STR
G354	 STR
G481_G478_A	 STF
G48_G300_C	 STF
G80_G579_A	 STF
G72	 STR
G44_G288_A	 STR
G76_G580_B	 STF
G103_G288_B	 STR
G77_G99_A	 STR
G621	 STR
G77_G586_B	 STF
G541	 STR
G265_G261_A	 STR
G101_G291_B	 STR
G513	 STR
G596_G100_B	 STF
G75_G584_B	 STR
G582	 STF
G597_G599_B	 STF
G351	 STF
G619	 STF
G301_G334_A	 STR
G79_G583_A	 STF
G355_G356_B	 STR
G588	 STR
G104_G294_B	 STF
G82_G581_A	 STF
G645_G624_B	 STR
G646	 STR
G649_G235_A	 STF
G85_G602_A	 STR
G72_G487_B	 STF
G508	 STF
G22	 STF
G617	 STR
G62_G349_A	 STR
G74_G529_B	 STR
G583	 STR
G79_G561_A	 STF
G645_G642_B	 STF
G64	 STR
G74_G550_B	 STR
G414_G345_A	 STF
G81_G585_A	 STR
G102_G292_B	 STF
G601_G602_B	 STR
G449	 STR
G629	 STF
G503	 STF
G614	 STR
G645_G636_B	 STR
G520	 STR
G105_G295_B	 STR
G610_G567_B	 STR
G80_G584_A	 STR
G524_G456_B	 STF
G290	 STF
G645_G646_B	 STF
G74_G583_B	 STF
G551_G538_A	 STR
G47_G300_D	 STF
G80_G561_B	 STR
G505	 STF
G103_G293_B	 STR
G511_G505_B	 STF
G432_G229_A	 STF
G511_G512_B	 STR
G334	 STR
G90_G654_A	 STR
G500_G492_B	 STR
G632	 STF
G73_G487_C	 STF
G596_G99_B	 STF
G549	 STR
G524_G604_B	 STF
G81_G561_C	 STF
G79_G578_A	 STF
G261	 STR
G349	 STR
G647	 STR
========================================================================


G256	 STF
G76_G580_B	 STR
G75_G584_B	 STR
G476_G655_B	 STF
G347	 STF
G84_G603_B	 STR
G579	 STF
G549	 STR
G634	 STF
G629	 STR
G76_G585_B	 STR
G62_G349_A	 STR
G49_G300_B	 STR
G511_G512_B	 STR
G490	 STR
G325	 STR
G136_G226_A	 STF
G74_G583_B	 STR
G74_G550_B	 STR
G349	 STR
G74_G529_B	 STR
G80_G584_A	 STR
G81_G561_C	 STF
G511_G505_B	 STR
G229	 STR
G48_G300_C	 STF
G596_G96_B	 STF
G645_G646_B	 STR
G495	 STR
G70_G474_B	 STR
G268_G279_A	 STR
G494	 STR
G581	 STF
G102_G292_B	 STF
G511_G508_B	 STF
G619	 STF
G69_G520_B	 STR
G631	 STF
G79_G578_A	 STF
G85_G602_A	 STF
G567	 STR
G64	 STR
G493	 STR
G645_G642_B	 STR
G588	 STR
G542	 STR
G73	 STR
G632	 STR
G334	 STR
G105_G295_B	 STF
G77_G581_B	 STR
G643	 STF
G597_G599_B	 STF
G90_G654_A	 STF
G584	 STR
G77_G586_B	 STR
G610_G567_B	 STR
G647	 STR
G229_G344_A	 STR
G589	 STF
G103_G288_B	 STR
G261	 STR
G553_G549_A	 STR
